comentario,red_social,filial,comunidad,sentimiento,eje_tematico
"Afinia sigue reforzando las redes de Bolívar y sur del Magdalena El equipo técnico de Afinia, filial del Grupo EPM, llevará a cabo trabajos de robustecimiento de la infraestructura eléctrica en distintos municipios de Bolívar del 28 de abril al 3 de mayo. Estas acciones forman parte del plan de inversión destinado a proporcionar un servicio de energía más confiable y de mejor calidad. Para realizar estas intervenciones, se requiere la interrupción del suministro eléctrico en los siguientes lugares y horarios: Lunes 28 de abril Arroyo Grande, Cartagena Horario: 7:30 a. m. a 3:30 p. m. Circuito: Bayunca 2 Labores: Desmonte y cimentación de postes, cambio de armados, tendido de red y poda técnica. Se interrumpirá el servicio en: Finca Villa Lucía, Arroyos de Las Canoas, carrera 27 con calle 29, el Cementerio y sectores aledaños. Cartagena Horario: 7:13 a. m. a 5:55 p. m. Circuito: Bosque 11 Labores: Cambios de herrajes, crucetas y aisladores. Se interrumpirá el servicio en: carrera 31 con calle 53 del barrio San Bernardo. San Jacinto Horario: 8:00 a. m. a 4:00 p. m. Circuito: San Jacinto 2 Labores: Mantenimiento de transformador de distribución, instalación y aplome de apoyos. Se interrumpirá el servicio en: calle 25 con carrera 39, barrio Santa Ana. Martes 29 de abril Municipio de El Carmen de Bolívar Horario: 8:00 a. m. a 4:00 p. m. Labores: Mantenimiento de transformador de distribución, instalación y aplome de apoyos. Se interrumpirá el servicio en: barrio La Colonia (Carrera 47 con Calle 36B) Municipio de Arjona Circuito Gambote 1 Trabajos: Poda, mantenimiento y adecuación de puntos calientes. Horario: 7:00 a. m. a 4:00 p. m. Se interrumpirá el servicio en: corregimientos de Rocha y veredas: Mapurito, Variante Mamonal-Gambote, Buenos Aires, Pueblo Rocha. Fincas en El Juncal, El Pulga, La Puya, Caimanes, El Paraíso, Casa Loma y Bella Vista. Municipio de Mahates circuito Gambote 4 Horario: 7:00 a. m. a 3:00 p. m. Trabajos: Poda, corrección de puntos calientes, adecuación de puentes de media tensión, cambio de apoyos y crucetas. Se interrumpirá el servicio en: zona rural y corregimiento de San Basilio de Palenque, sectores cercanos a la vía El Viso – San Pablo. Marialabaja (Bolívar) y San Onofre (Sucre) Línea 596 Horario: 7:00 a. m. a 3:00 p. m. Trabajos: Poda, corrección de puntos calientes, adecuaciones en puentes de media tensión, cambio de apoyos y crucetas. Se interrumpirá el servicio en: zona urbana y rural del corregimiento de María La Baja, veredas de San Onofre como Colu, Correa, El Níspero, Flamenco, Nueva Florida, Ñanguma, Retiro Nuevo, Nueva Esperanza, El Playón, Los Bellos, Sabanas de Mucacal, San Antonio, Labarces, Boca Cerrada, Majaguas, Primero de Julio y San Pablo. Municipio de Magangué Circuito San Pablo Horario: 7:30 a. m. a 5:00 p. m. Trabajos: cambio de armados, poda, tendido de línea e hincado de apoyo. Se interrumpirá el servicio en: calle 28 con carrera 29 del barrio Pastrana. Cartagena circuito Zaragocilla 6 Trabajos: cambios de herrajes, crucetas y aisladores. Horario: 7:17 a. m. a 5:56 p. m. Se interrumpirá el servicio en: barrio El Country (Diagonal 40 con Transversal 48). El Banco (Magdalena) Circuito Banco III Horario: 7:00 a. m. a 5:00 p. m. Trabajos: cambio de apoyos, crucetas, retención de líneas, poda y trabajos en cruce del río del Salto Se interrumpirá el servicio en: vereda El Salto, barrios Arriba y Villa Natalia. Miércoles 30 de abril de 2025 Cartagena Circuito Chambacú 7 Horario: 9:00 a. m. a 4:00 p. m. Trabajos: Adecuación del punto de conexión e instalación de una medida directa. Se interrumpirá el servicio en: carrera 2 con carrera 8, barrio San Diego. Cartagena Circuito Ternera 5 Horario: 8:30 a. m. a 4:00 p. m. Trabajos: Adecuación del punto de conexión. Se interrumpirá el servicio en: conjunto residencial y centro comercial Parque Heredia, Salamandra, San Buenaventura, Barlovento, Buenaventura, Fragata, Caracolí, Gaia. Santa Catalina Circuito Bayunca 2 Horario: 7:40 a. m. a 3:30 p. m. Trabajos: Desmonte, hincado, aplome, cimentación, cambio de armados y poda. Se interrumpirá el servicio en zona urbana y rural de este municipio y el corregimiento de Arroyo Grande, Cartagena. Cartagena Circuito Bosque 4 Horario: 6:31 a. m. a 5:33 p. m. Trabajos: Cambio de crucetas, aisladores, postes, poda y normalización. Se interrumpirá el servicio en: diagonal 29B con transversal 55, barrio Ceballos. Magangué, Cicuco y Mompox Circuito Santa Isabel y Mompox 4 Horario: 6:20 a. m. a 5:00 p. m. Trabajos: Cambio de apoyos y armado en mal estado. Se interrumpirá el servicio en: zonas rurales y urbanas de Magangué, Cicuco y Mompox, incluyendo Yatí, Santa Fe, Puerto Kennedy, Tacaloa, San Francisco, Punta Cartagena, Caño Hondo, San Ignacio, Santa Cruz, Santa Rosa, La Travesía, entre otros corregimientos y barrios. Municipio de Mompox Circuito Santa Ana Horario: 8:30 a. m. a 4:30 p. m. Trabajos: Cambio de armado, aislamiento de media tensión, poda y ramajeo. Se interrumpirá el servicio en corregimientos de Candelaria, Caldera y Los Piñones. vía la Boquillas – Candelaria. Municipio de San Juan de Nepomuceno Circuito San Juan Nepomuceno 2 Horario: 8:00 a. m. a 4:00 p. m. Trabajos: Mantenimiento de transformador de distribución, instalación y aplome de apoyos. Se interrumpirá el servicio en: la carrera 3A con calle 10B, barrio Armero. Municipio de El Banco (Magdalena) Circuito Banco III Horario: 7:00 a. m. a 5:00 p. m. Trabajos: Cambio de apoyos, crucetas, retención de líneas, poda y cambio de apoyo en cruce del río del Salto. Se interrumpirá el servicio en: vereda El Salto, barrios Arriba y Villa Natalia. Jueves 1 de mayo Municipio de Mahates Circuito Gambote 4 Horario: 8:00 a. m. a 4:00 p. m. Trabajos: Mantenimiento de transformador de distribución, instalación, cambio y aplome de apoyos de baja tensión. Se interrumpirá el servicio en: corregimiento de Malagana, carrera 9 con calle 10A. Municipio de Magangué Circuito Centro Horario: 8:40 a. m. a 5:00 p. m. Trabajos: Labores: Cambio de bloque de prueba. Se interrumpirá el servicio en: calle 15 con carrera 6A, barrio El Carmen. Viernes 2 de mayo Municipios de Talaigua Nuevo Circuito Talaigua Nuevo 2 Horario: 8:00 a. m. a 4:00 p. m. Trabajos: Cambio de postes, armados de media tensión, balanceo y poda de vegetación cercana a las redes. Se interrumpirá el servicio en: corregimiento de Caño Hondo. Municipio Mompox Circuito San Francisco Horario: 7:30 a. m. a 5:00 p. m. Trabajos: Normalización de medida, cambio de transformador de corriente (TC) y cable de señal. Se interrumpirá el servicio en: carrera 2 con calle 25, barrio La Magdalena. Cartagena Circuito Bocagrande 9 Horario: 7:50 a. m. a 5:00 p. m. Trabajos: Normalización de medida semidirecta. Se interrumpirá el servicio en: calle 8 con carrera 5, barrio Bocagrande. Sábado 3 de mayo Arenal del Sur, Norosi y Río Viejo Circuito Rio Viejo II Horario: 7:00 a. m. a 3:00 Trabajos: cambio de armado y aislamiento de media tensión (MT), poda técnica Se interrumpirá el servicio en: zona urbana de Arenal del Sur, Norosí y sectores rurales de Río Viejo: Mario Arguello, La Golosa, Sandra Elena, Lefial La Palma, La Quinta, Caimital, Conformidad Alta, Villa Elisa, Quinquerilla, El Clavo, Henry, Villa Angie, Cabadillo, Los Campo Morales, Obe, Denis Salazar, Santa Lucía, Hatillo, La Esperanza, Requendama, Dulce Nombre, El Descanso y zonas aledañas. Afinia recuerda la disponibilidad de la línea telefónica 115 y aplicación para teléfonos móviles afiniapp para reportar eventos con el servicio de energía, e invita a sus clientes – usuarios a consultar la programación de interrupciones en la sección trabajos programados en el portal www.afinia.com.co y en el canal de WhatsApp Afinia trabajos programados Bolívar.",Facebook,Afinia,Test,Neutro,"Acciones, Cortes De Energía, Energía"
"Afinia y CORPOHACE se unen para promover la cultura del reciclaje en Magangué • La iniciativa comenzará en el municipio de Magangué y se extenderá progresivamente a otros municipios de la región Afinia, filial del Grupo EPM, en el marco de su compromiso con el cuidado del medio ambiente y la sostenibilidad, firmó un acuerdo voluntario de cooperación con la Corporación Habita Ambiental Cuida y Educa (CORPOHACE), organización con sede en la cuidad de Magangué. Este acuerdo tiene como objetivo la entrega, por parte de Afinia, de los residuos vegetales generados durante labores de poda y mantenimiento de sus líneas eléctricas en la jurisdicción de Bolívar Sur. A su turno, CORPOHACE será la encargada de recolectar, transportar y disponer adecuadamente estos residuos, promoviendo su aprovechamiento responsable y la generación de valor social y ambiental a través del reciclaje. La iniciativa comenzará en el municipio de Magangué y se extenderá progresivamente a otros municipios de la región, fortaleciendo las capacidades locales para la gestión de residuos y contribuyendo al bienestar de las comunidades recicladoras. Este acuerdo no implica contraprestaciones económicas y tendrá una duración inicial de un año, prorrogable de común acuerdo. Durante su vigencia, CORPOHACE deberá garantizar el cumplimiento de los estándares técnicos y ambientales establecidos por la normativa colombiana, así como presentar informes periódicos sobre la disposición de los residuos recibidos. Con esta alianza, Afinia reafirma su propósito superior de contribuir a la armonía de la vida para un mundo mejor, mediante alianzas sostenibles y acciones concretas en favor del medio ambiente.",Facebook,Afinia,Test,Positivo,"Acciones, Cortes De Energía, Cultura Energética"
"Afinia, empresa filial del grupo EPM, anunció que, para esta Semana Mayor en el marco de implementar su Plan de Contingencia, ha dispuesto de más de 800 colaboradores entre operativos y técnicos para atender a los usuarios para brindar el mejor servicio.  Por su parte, la empresa, ha trabajado arduamente para ejecutar su plan de mejoras, ratificando su compromiso con los más 6.5 millones de habitantes en sus zonas donde tiene presencia. Dentro de la ejecución del plan, Afinia ha dicho que no habrá ningún tipo de trabajo programado en la red de distribución para evitar interrupciones en e servicios durante los días santos. Además, estarán disponibles todos los canales de atención para recibir reportes y solicitudes de los usuarios: Líneas: 115, (605) 650 21 20 y 01 8000 919191; Página web: www.afinia.com.co; App móvil: Afiniapp La compañía invita a la ciudadanía a reportar cualquier novedad a través de estos medios y reitera su compromiso con la calidad, continuidad y cobertura del servicio de energía durante esta importante temporada para el país.",Instagram,Afinia,Test,Neutro,"Cortes De Energía, Energía, Interrupciones"
"Afinia, filial del Grupo EPM, continúa ejecutando inversiones históricas en la región para seguir transformando la prestación del suministro eléctrico en los 134 municipios donde opera.",Facebook,Afinia,Test,Neutro,Cortes De Energía
"Afinia, filial del Grupo EPM, suspendió el servicio de energía en el conjunto residencial Tierra Linda de Turbaco, Bolívar, debido a una deuda acumulada de $523,4 millones en las etapas 1 y 3 del proyecto. A pesar de las gestiones y reuniones con representantes del conjunto, Personería y Alcaldía, no se logró un acuerdo para regularizar la situación. Además, se detectaron conexiones ilegales en la etapa 2 del proyecto, lo que agrava la situación. Afinia destaca su compromiso con la prestación de un servicio seguro, legal y sostenible, y hace un llamado a la corresponsabilidad de los clientes. En Bolívar, Afinia ha invertido $1,2 billones en calidad del servicio y atiende a 668 mil clientes. La empresa reitera su disposición al diálogo y busca encontrar soluciones para garantizar la prestación del servicio de energía de manera segura y sostenible.",Instagram,Afinia,Test,Positivo,"Cortes De Energía, Energía, Servicio"
Desde el grupo EPM aseguraron que la empresa Air-E le adeuda a Afinia 107 mil millones en suministro eléctrico. Detalles aquí 👇,Facebook,Afinia,Test,Neutro,Cortes De Energía
"Desde su entrada en operación en octubre de 2020, la filial Afinia, perteneciente al Grupo EPM, ha recibido un respaldo financiero de 2,88 Fuente: ifm noticias Compartido por medio de App de Google https://t.co/usdhGwTNJ8",Twitter,Afinia,Test,Neutro,"Cortes De Energía, Operación"
"El equipo técnico de Afinia, filial del grupo EPM, hará interrupción del suministro eléctrico en los municipios del Departamento de Bolívar.",Facebook,Afinia,Test,Neutro,Cortes De Energía
"El equipo técnico de Afinia, filial del Grupo EPM, llevará a cabo este domingo 27 de abril trabajos de robustecimiento de la infraestructura eléctrica en Cartagena. Debido a estas labores, será necesario interrumpir temporalmente el servicio de energía en distintos sectores de la ciudad. Los trabajos se desarrollarán en los siguientes circuitos y horarios: Circuito Bosque 2: de 8:00 a.m. a 4:00 p.m. Se harán cambios de armado y aisladores. El corte de energía afectará áreas del barrio Alto Bosque, específicamente en las transversales 54 y 55, y diagonales 19, 21 y 22. Circuito Zaragocilla 2: de 7:00 a.m. a 4:00 p.m. Se realizarán mantenimientos dentro de la subestación Zaragocilla. Se verá afectado el servicio en barrios como Armenia, Tesca, Villa Olímpica, Escallón Villa, Chiquinquirá, Las Gaviotas, entre otros. Circuito Zaragocilla 5: de 7:00 a.m. a 7:30 a.m. y de 4:00 p.m. a 4:30 p.m. También se trabajará en la subestación Zaragocilla. El servicio se interrumpirá en sectores como Nuevo de Abril, Cama",Instagram,Afinia,Test,Neutro,"Cortes De Energía, Energía, Infraestructura"
"El equipo técnico de Afinia, filial del Grupo EPM, llevará a cabo trabajos de robustecimiento de la infraestructura eléctrica en distintos municipios de Bolívar del 23 al 27 de abril.",Facebook,Afinia,Test,Neutro,"Cortes De Energía, Infraestructura"
"EPM ha girado a Afinia, filial del Grupo EPM, un total de 2.88 billones de pesos, desde la entrada en operación de la compañía en octubre de 2020 hasta abril de 2025, en su compromiso para proteger a los usuarios... https://t.co/nASiOV3ydf",Twitter,Afinia,Test,Neutro,"Cortes De Energía, Operación"
"Guardianes ambientales del colegio INEM cuidan del primer vivero bioclimático que Afinia entrega a Cartagena Afinia, filial del Grupo EPM, continúa fortaleciendo su compromiso con la sostenibilidad y el desarrollo ambiental de los territorios donde opera. En esta ocasión, la compañía entregó oficialmente el primer vivero bioclimático de Cartagena, ubicado en el Colegio INEM José Manuel Rodríguez Torices. Este espacio innovador ya cuenta con una producción inicial de más de 40.000 plántulas entre especies maderables y frutales, que serán utilizadas para la arborización urbana, la recuperación de zonas verdes y la mejora de las condiciones ambientales del Distrito de Cartagena. Durante la entrega del vivero el gerente general de Afinia, Ricardo José Arango, destacó “este vivero bioclimático representa un paso significativo en nuestro compromiso con el bienestar y el desarrollo sostenible de la región. Es una iniciativa a través de la cual Afinia compensa las labores realizadas en términos de infraestructura, específicamente por la construcción de la línea 620 y el cable submarino que atiende una zona insular de Cartagena.” Este vivero es el primero de tres que Afinia construirá en el departamento de Bolívar, en cumplimiento de sus medidas de compensación ambiental bajo la licencia del Establecimiento Público Ambiental (EPA) de Cartagena. La obra tuvo una inversión cercana a los 230 millones de pesos, y cuenta con un sistema de riego automatizado alimentado por energía solar, lo que refuerza su enfoque sostenible. Además de su propósito ambiental, el vivero servirá como herramienta educativa para los estudiantes del colegio INEM y la comunidad en general. #Cartagena #Ac",Twitter,Afinia,Test,Neutro,"Cortes De Energía, Energía, Infraestructura"
"Hoy celebramos el Día del Árbol en compañía de la ESSA Grupo EPM Electrificadora de Santander y el Canal TRO! 🌴🌲 Junto a nuestros niños de la Escuela de Morario, realizamos una hermosa siembra de árboles, una forma de cuidar nuestro medio ambiente y sembrar vida para el futuro. https://t.co/HkwSTPyCel",Twitter,ESSA,Test,Neutro,Cortes De Energía
"INTERÉS | Afinia activa su plan de contingencia para Semana Santa . . Con el objetivo de asegurar la continuidad del fluido eléctrico durante la Semana Santa, Afinia, filial del Grupo EPM, activó el plan de contingencia en los sitios turísticos y lugares de alta concentración de personas en Bolívar, Cesar, Córdoba, Sucre y 11 municipios del Magdalena. Más de 800 personas, entre técnicos, operativos y personal administrativo, estarán disponibles para atender cualquier eventualidad que se registre en la red de distribución local y regional. Las brigadas estarán distribuidas estratégicamente, priorizando las zonas con mayor flujo turístico, y contarán con el respaldo de herramientas y tecnología para agilizar la respuesta ante posibles daños o interrupciones imprevistas. Acciones preventivas para minimizar eventos no programados Afinia adelantó durante las últimas semanas una serie de labores técnicas enfocadas en reducir las averías no programadas y fortalecer la red de distribución. Entre estas acciones se destacan: · Poda y despeje de vegetación en 52 circuitos. · Intervención prioritaria en 20 circuitos estratégicos. · Inspección termográfica en 51 circuitos para la identificación de puntos críticos. · Mantenimiento preventivo en subestaciones, balanceo de cargas de circuitos y renovación de infraestructura en mal estado. Estas tareas se han ejecutado como parte de una estrategia preventiva, diseñada para mejorar la confiabilidad del sistema y reducir el impacto de eventos externos como condiciones climáticas o sobrecargas por alta demanda. Durante los días santos, Afinia no realizará trabajos programados sobre la red de distribución para evitar interrupciones en el servicio. Además, estarán disponibles todos los canales de atención para recibir reportes y solicitudes de los usuarios: Líneas: 115, (605) 650 21 20 y 01 8000 919191; Página web: www.afinia.com.co; App móvil: Afiniapp La compañía invita a la ciudadanía a reportar cualquier novedad a través de estos medios y reitera su compromiso con la calidad, continuidad y cobertura del servicio de energía durante esta importante temporada para el país.",Instagram,Afinia,Test,Neutro,"Acciones, Cortes De Energía, Energía"
"INTERÉS | Afinia sigue realizando trabajos en beneficio de los cordobeses, habrá interrupciones la próxima semana . . El equipo técnico de Afinia, filial del Grupo EPM, adelantará trabajos de robustecimiento de la infraestructura eléctrica entre el 28 y 30 de abril, para entregar un servicio con mayor confiabilidad en distintos municipios de Córdoba. Para realizar estas intervenciones se requiere la interrupción del servicio de energía de la siguiente manera: Lunes 28 de abril: • Ayapel: se realizarán trabajos de instalación de postes y optimización de redes entre las 9:30 a.m. y las 5:00 p.m., tiempo que no tendrán servicio los clientes de la transversal 5 con calle 18 del barrio Ospina Pérez. • Moñitos: entre las 9:00 a.m. y las 5:00 p.m., avanzarán las labores de renovación de postes, elementos de red y poda técnica preventiva, tiempo que estarán sin energía los clientes de las poblaciones Tinas, Naranjal, La Mojana, Naranjal Arriba, Naranjal Abajo y Bajo Limón. • Planeta Rica: se desarrollarán obras de renovación de la infraestructura eléctrica que cumplió su ciclo de vida útil, que demandan la suspensión del servicio de 9:20 a.m. a 4:40 p.m., en la calle 27a carrera 16 del barrio El Porvenir. • Sahagún: continuarán las actividades de instalación de equipos, para las que es necesario interrumpir el fluido eléctrico de 10:30 a.m. a 12:00 p.m., en la calle 9 con carrera 18 del barrio El Prado; de 2:10 p.m. a 3:50 p.m., en la calle 14 con carrera 8 del barrio Centro; y de 8:10 a.m. a 9:40 a.m., en la calle 2 con carrera 3 de la vereda Sabanita Tropical.",Instagram,Afinia,Test,Neutro,"Cortes De Energía, Energía, Infraestructura"
"La empresa Afinia, filial del Grupo EPM, ha liderado un encuentro clave con los alcaldes de Santa Rosa del Sur y Simití, y líderes comunitarios, para definir estrategias y compromisos que garanticen un suministro más estable y eficiente en la región. En este encuentro, se analizaron las condiciones del sistema eléctrico y se definieron acciones para mejorar la prestación del servicio. Entre los compromisos para la mejora del servicio se destacan la intervención en la línea 582 para mejorar la estabilidad del suministro eléctrico, la instalación de un banco de reguladores en julio para optimizar los niveles de tensión, y la instalación de medidores prepagos en barrios subnormales en articulación con las alcaldías. Además, se actualizarán los censos poblacionales y técnicos en barrios subnormales para una planificación más eficiente. También se ejecutarán mesas de trabajo social el 8 de abril, orientadas a reducir pérdidas y fortalecer el recaudo. En este sentido, se identificarán personas no autorizadas que realizan cobros indebidos en barrios subnormales de Simití y se investigarán presuntos cobros irregulares en el barrio El Bosque. Asimismo, se gestionará ante el gobierno nacional para escalar los acuerdos y lograr soluciones estructurales. La empresa también analizará el sistema de alumbrado público en Simití, en respuesta a los reportes de fallas en luminarias, y trabajará conjuntamente con ESSA para socializar con la comunidad las causas de las fallas en el servicio. Además, se elaborará un documento dirigido al gobierno nacional, solicitando mayor respaldo en cobertura y calidad, y se garantizará una comunicación constante con la comunidad, proporcionando información clara y oportuna sobre los avances. Afinia reconoce el óptimo comportamiento de pago de Santa Rosa del Sur, un factor clave para la sostenibilidad del sistema eléctrico y el cual debe continuar fortaleciéndose.",Instagram,Afinia,Test,Neutro,"Acciones, Cortes De Energía, Estrategia"
Los 70 años de EPM son un símbolo de bienestar y progreso para Medellín y Antioquia. En 1995 celebramos los 40 años con la construcción del edificio inteligente y la transformación jurídica de la entidad . Felicitaciones para la gran familia del grupo EPM. https://t.co/9NqFgF3w6a,Twitter,Grupo EPM,Test,Neutro,Cortes De Energía
Se trata de soluciones a las que cualquier persona o empresa puede acceder fácilmente. #ConElApoyo de ESSA Grupo EPM,Facebook,ESSA,Test,Neutro,Cortes De Energía
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
